Assalamualaikum| Waalaikumsallam ada yang bisa saya bantu ? silahkan bertanyaa
Solusi ketika khawatir tidak dapat membahagiakan istri yang kaya ?|  Membahagiakan seorang istri tidak hanya dengan harta. Apabila istrimu adalah seorang yang shalehah maka seorang suami dapat membahagiakan istrinya dengan tetap menjaga, mendidik, dan mengajaknya bertaqwa kepada Allah SWT.
Bagaimana jika hendak menuju pelaminan tetapi memiliki kekurangan dalam masalah agama ?| apabila kita menyadari kelemahan kita dalam ilmu agama, maka kita bisa saja menutupinya dengan belajar. Ustadz, buku, dan berbagai ceramah keagamaan adalah mata air ilmu yang darinya kita dapat belajar ilmu agama yang tidak kita ketahui.
Apa itu ta’aruf dan apa saja yang dilakukan ?| Ta’aruf artinya saling mengenal antara calon pasangan. Yang dilakukan pada saat itu adalah bertukar informasi pribadi dan keluarga. Dari situ kita dapat mengetahui latar belakang masing-masing seperti keluarga, pendidikan, pemahaman agama , akhlak, serta kelebihan dan kekurangan dari calon pasangan.
Hal yang tidak boleh dilakukan ketika ta’aruf|  hal yang tidak boleh dilakukan saat taaruf yaitu bertukar foto. Karena kemungkinan foto tersebut akan disimpan oleh sang pelamar meskipun tidak jadi menikah. Bisa juga foto tersebut jatuh ketangan orang yang salah dan jadi tontonan orang lain.
apakah pacaran sama dengan ta’aruf ?| pacaran adalah hubungan lawan jenis non mahram yang berisi dengan aktivitas maksiat. Sebagian beranggapan bahwa pacaran sama dengan ta’aruf yaitu sebagai media untuk mengenal calon pasangannya, namun semua itu tidak benar. Rasulullah bersabda “ tidaklah seorang laki-laki berkhalwat (menyepi) dengan wanita kecuali pihak ketiganya adalah setan.”
Bagaimana hukum chatting, sms, telpon, dan lainnya sebelum menikah ?|  chatting, sms, dan berbicara lewat telepon , ataupun berkirim surat memiliki kesamaan yakni berbicara dengan lawan jenis yang bukan mahram. Hukum berbicara dengan lawan jenis tidak dilarang apabila pembicaraan tersebut menurut kepada syari’at islam. Namun hukumnya dilarang apabila pembicaraan tersebut menimbulkan fitnah.
Bolehkah chatting, sms, dan telpon menjadi sarana ta’aruf ?|  misi ta’aruf disini adalah untuk saling mengenal antar masing-masing calon secara mendalam bahkan mengetahui fisiknya. Apabila seseorang melakukan ta’aruf lewat media chat, sms, dan telepon akan terdapat dua kemungkinan masalah yang pertama masalah kejujuran dan yang kedua berkaitan dengan bahaya khalwat.
Bentuk komunikasi seperti apa yang diperbolehkan ?|  ketika kita melakukan ta’aruf dianjurkan untuk mencari perantara atau sumber informasi yang terpercaya dalam komunikasi dengan calon pasangan (ta’aruf) sehingga masing-masing dapat terhindar dari fitnah.
Bagaimana cara ta’aruf yang syar’i|Ta’aruf yang syar’i adalah ta’aruf yang bebas dari segala kemaksiatan tidak dilakuan dengan berpacaran, berkhalwat, ikhtilat, menampakan aurat, dan sebagainya. Ta’aruf akan lebih bermashlahat apabila dilakukan melalui perantara untuk mencari informasi tentang calon pasangan.
Berapa lama waktu ta’aruf ?|  ta’aruf sebaiknya dilaksanakan dengan bijaksana dan tidak tergesa-gesa meskipun lebih cepat lebih baik untuk menghindari hal-hal yang tidak diinginkan dan juga untuk menghindari fitnah.
Bolehkah mengadakan ta’aruf dengan beberapa orang calon dalam satu waktu ?| Sebelum melaksanakan akad, seseorang dibebaskan untuk melaksanakan ta’auf dengan beberapa orang. Namun alangkah baiknya selesaikan dulu proses ta’aruf yang sedang dijalani sebelum kepada proses ta’aruf selanjutnya agar tidak menyakiti perasaan orang yang sedang dita’arufi.
Bolehkah menanyakan masalah pribadi atau aib ketika ta’aruf ?| apabila yang ditanyakan adalah aib yang berkaitan dengan fisik sepertu rusaknya alat kelamin, baik pada calon pria ataupun wanita maka diperbolehkan asalkan dengan etika yang baik yang tidak menyakiti calon pasangan. Adapun aib yang tidak berupa fisik misalnya dahulu pernah berpacaran atau melakukan dosa lainnya itu tidak perlu ditanyakan selagi ia telah bertaubat. Untuk dosa zina itu boleh untuk ditanyakan untuk dijadikan pertimbangan pada proses ta’aruf.
Waktu yang ideal untuk menimbang keputusan setelah ta’aruf ?| seseorang perlu melaksanakan shalat istikharah untuk meminta petujuk dalam memilih jodoh. Ketika seseorang telah memiliki kemantapan hati maka itulah waktu ideal untuk memberi keputusan.
Bagaimana sikap yang harus diambil ketika akan menolak agar tidak menyakiti calon pasangan ?| Dalam kasus ini komunikasi yang baik sangatlah diperlukan untuk meminimalkan risiko kebencian salah satu pihak. Sampaikan baik-baik melalui orang ketiga, yakinkan bahwa kita belum ditakdirkan untuk berjodoh dan kelak akan ada orang lain yang lebih baik yang menjadi jodohnya.
Dalam islam, apakah boleh melaksanakan tunangan sebelum melaksanakan pernikahan ?| dalam ajaran islam istilah tunangan tidak dikenal, dalam syariat islam hanya mengenal khitbah. Khitbah berdasarkan kepada syari’at islam sedangkan tunangan diambil dari budaya barat yang didalamnya terdapat proses tukar cincin yang dimana proses tersebut tidak pernah ditemui syari’at seperti itu. Dalam islam laki-laki dilarang menggunakan emas termasuk cincin.
Apa yang harus dilakukan ketika keluarga calon istri menuntut hak yang tidak mampu dipenuhi ?| cobalah melakukan pendekatan dengan orang tua calon istri agar kamu tau motif dari permintaannya tersebut. apakah karena ingin memiliki menantu yang ideal atau karena sengaja ingin menggagalkan pernikahan kamu dengan anaknya.
Apa yang harus dilakukan ketika mengetahui keluarga calon istri melakukan kesyirikan ?| ketika kamu mengetahui bahwa keluarga calon istri kamu melakukan kesyirikan maka anda dapat mendakwahinya secara bijak agar mereka meninggalkan kesyirikan tersebut. menggagalkan atau melanjutkan pernikahan pun tergantung niat dan kesiapan kamu dalam menyikapi perbuatan musyrik yang dilakukan orang tuanya
Bagaimana jika calon mertua tidak setuju ketika calon istri sangat ingin menikah ?|  ketika calon istri sudah ingin menikah tetapi orang tuanya tidak merestui dengan alasan yang tidak syar’i itu berarti masalahnya terletak pada orang tuanya. Langkah yang harus kamu lakukan adalah melakukan pendekatan agar tidak menambah penolakan. Berilah pemahaman kepada orang tuanya bahwa anak gadisnya tidak diperbolehkan menikah tanpa seizin orang tuanya. Begitupun untuk orang tua tidak boleh menolak lamaran laki-laki yang shaleh dan menikahkan anak gadisnya dengan laki-laki yang tidak ia sukai.
Apakah sederet syarat yang diajukan orang tua termasuk menghalang-halangi pernikahan ?| apabila syarat tersebut tidak bertentangan dengan syari’at maka itu diperbolehkan dan tidak termasuk menghalang-halangi pernikahan. Namun, apabila syarat tersebut bertentangan dengan ajaran islam tentu hal itu termasuk menghalang-halangi pernikahan. hal ini jelas tidak diperbolehkan karena akan menunda pernikahan dan  pada akhirnya hanya akan memberikan madharat kepada anak gadisnya.
Bagaimana meyakinkan orang tua bahwa menikah tidak mengganggu kuliah ?|  Wajar apabila orang tua memiliki kekhawatiran terhadap anaknya. Langkah yang harus kita ambil adalah melakukan pendekatan kepada orang tua. Buktikan kepada mereka kamu tetap mampu berprestasi saat menikah dan juga menafkahi istri. Yakinkan mereka bahwa ketika mencari ridha Allah maka InsyaAllah segalanya akan berjalan dengan lancar.
Bagaimana pesta pernikahan yang syar’i ?| ketika melaksanakan walimatul Ursy ada beberapa hal yang harus diperhatikan. Yang pertama yaitu hijab, semaksimal mungkin untuk memisahkan tamu wanita dengan laki-laki. Yang kedua jangan lupa si miskin, hidangan walimah yang paling buruk adalah hidangan yang disajikan hanya untuk orang-orang kaya saja. Yang ketiga hindari tabzir atau menyia-nyiakan, banyak orang yang menyelenggarakan walimah dengan hidangan yang berlebih serta acara pendukung yang tidak ada dalam syari’at. Dan yang keempat adalah jangan buka peluang maksiat.
Bolehkah menggunakan pakaian adat ketika walimah ?|  Boleh dengan syarat tidak mengandung bahan atau aksesoris yang dilarang oleh syari’at, menutup aurat, niat menggunakan pakaian adat sebatas menyesuaikan dengan kebiasaan masyarakat.
Adakah istilah ngunduh mantu dalam islam ?| Dalam islam tidak ada istilahnya ngunduh mantu, sah-sah saja apabila sekedar mengadakan acara selang beberapa hari setelah walimah dirumah mempelai wanita. Namun, apabila ngunduh mantu dikatakan sebagai salah satu faktor yang dapat membuat rumah tangga bahagia apalagi diiringi dengan seremoni yang mengandung unsur syirik dan takhayul maka itu dilarang.
Bagaimana jika keluarga mempelai wanita menyelenggarakan walimah dengan adat yang bertentangan dengan ajaran islam ?|  Nabi bersabda “ Barang siapa yang melihat suatu kemungkaran, hendaknya ia mengubahnya dengan tangannya; jika tidak mampu maka dengan lisannya; dan jika tidak mampu pula maka dengan hatinya; yang dengan demikian itu adalah selemah-lemah iman.
Bolehkah melakukan prewedding ?| Prewedding boleh saja dilakukan dengan syarat menutup aurat, tidak bermesraan karena Nabi bersabda “Ditusukannya tombak besi di kepala kalian itu masih lebih baik baginya daripada ia menyentuh wanita yang tidak halal baginya.” Jangankan untuk bermesraan memegang wanita yang bukan mahramnya saja haram hukumnya.
Bagaimana jika laki-laki tidak mampu membeli mahar dan mengadakan walimah ?| Kemiskinan bukanlah penghalang seseorang untuk melaksanakan pernikahan. Apabila kita tidak memiliki harta untuk membeli mahar maka kita dapat memberikan mahar jasa seperti mengajarkan beberapa surat kepada calon istri. Untuk Walimah hukumnya sunnah maka jika tidak dilaksanakanpun tidak menjadi halangan seseorang untuk menikah.
Apa yang disunnahkan setelah akad nikah dan walimah ?| Beberapa sunah yang dianjurkan ketika setelah akad dan walimah yaitu mengucapkan salam ketika masuk ke kamar pengantin, kemudian suami mendoakan istri dengan meletakan tangannya pada ubun-ubun istrinya, setelah itu dianjurkan untuk menunaikan shalat sunnah dua rakaat dengan istrinya dan berdoa agar pernikahannya terjalin atas dasar cinta kepada Allah SWT, setelah melaksanakan shalat untuk suami bersikap lemah lembut dan merayu istrinya serta membaca doa ketika akan melakukan jimak agar terhindar dari syaitan.
Benarkah berhubungan badan untuk pertama kali itu menyakitkan ?| Hubungan badan pertama kali seiring robeknya selaput dara adakalanya menimbulkan rasa sakit. Tetapi hal tersebut tidak akan berlangsung lama. Banyak juga yang tidak merasakan sakit ketika selaput daranya robek ketika berhubungan pertama. Menurut ahli rasa sakit yang timbul disebabkan oleh faktor ketakutan, kecemasan, dan kekhawatiran akan rasa sakit yang mungkin akan dialami.
Bagaimana tips agar melakukan hubungan badan tidak menyakitkan ?| Peran suami dan kecakapan suami ketika akan melakukan hubungan badan yang tidak menimbulkan rasa sakit baik pada sang istri maupun dirinya sendiri. Suami hendaknya memberi tahu istrinya bahwa ia tidak tergesa untuk melakukan hubungan itu. Dengan demikian sang istri tidak merasa ketakutan dan lebih tenang. Hal ini efektif dalam mempersiapkan ketenangan pengantin wanita untuk melakukan hubungan untuk pertama kali.
Haruskah Hubungan badan dilakukan pada malam pertama ?| Hubungan badan tidak harus dilakukan ketika malam pertama, tetapi melaksanakannya pada malam itu insyaAllah lebih baik dan lebih berbarakah. Pada malam pengantin, suami istri yang baru menikah insyaAllah berada dalam keadaan hati yang paling bersih dan paling baik prasangkanya kepada Allah.
Apa saja yang harus dipersiapkan sebelum melakukan hubungan suami istri ? | Yang pertama yaitu persiapan fisik seperti menjaga stamina, berhiar, membersihkan badan, memotong kumis, merapikan jenggot, mencukur bulu kemaluan , mencabut bulu ketiak, dan sebagainya yang kedua persiapan lingkungan sepeti menata tempat tidur dengan baik dan memberikan wewangian pada permukaan sprei. Yang ketiga persiapan psikis berkaitan dengan rasa percaya diri bahwa malam pengantin bukanlah malam yang menakutkan. Yang keempat persiapan ruhiyah berkaitan dengan hubungan suami istri sebagai hamba Allah niatkanlah hubungan tersebut untuk beribadah kepada Allah dan bacalah do’a sebelum berhubungan.
Bagaimana mengajak istri melakukan Hubungan sementara belum kenal satu sama lain ?| mengajak istri untuk melakukan hubungan bisa dengan memulai percakapan ringan dan mesra. Hal ini bertujuan untuk memberikan rasa rileks kepada suami dan istri. Suami dapat memberikan sentuhan-sentuhan kecil penuh kemesraan seperti pengangan tangan , belaian rambut, kecupan kening, ciuman ringan di pipi, untuk membangkitkan gairah pada istri.
Apa saja yang diperbolehkan ketika di tempat tidur ?| Hal yang diperbolehkan ketika di tempat tidur yaitu : 1. Menggauli istrinya dengan cara bagimanapun 2. Saling melihat kemaluan suami dan istri 3. Telanjang Bulat 4. Berbicara ketika melakukan hubungan suami istri 5. Mendesah
Apa saja yang tidak diperbolehkan ketika di tempat tidur ?| Hal yang tidak diperbolehkan ketika di tempat tidur yaitu : 1. Menggauli istri di duburnya 2. Menggauli istri yang sedang haid dan nifas
Hadits menggauli istri dengan cara bagaimanapun| Rasulullah bersabda “ Setubuhilah istrimu dari arah depan atau dari arah belakang, tetapi hindarilah ( jangan engkau menyetubuhinya ) di dubur dan ketika sedang haid.”.
Hadits melihat kemaluan istri dan suami| Aisyah ra bersabda “Saya dan Rasulullah pernah mandi bersama denngan satu wadah. (Kami bergantian menyiduknya). Beliau sering mendahului dalam menciduk sehingga aku mengatakan, ‘sisakan untukku, sisakan untukku!’. Padahal ketika itu kami sama-sama dalam keadaan junub.”
Hadits menggauli istri di duburnya|  Rasulullah bersabda “Terlaknatlah suami yang menyetubuhi istrinya di duburnya.”
Hadits menggauli istri yang sedang haid dan nifas| Nabi bersabda “ Barang siapa yang menyetubuhi istri yang sedang haid atau di duburnya, atau datang kepada dukun lalu ia mempercayai apa yang dikatakan kepadanya, sungguh ia telah kafir kepada kitab yang diturunkan kepada Muhammad.”
Apa saja hak istri atas suaminya ?| Hak seorang istri atas suaminya yaitu : 1. Diperlakukan dengan baik 2. Diajarkan hal-hal penting dalam agama atau mengizinkan kepadanya untuk menghadiri majelis-majelis ilmu 3. Dibimbing untuk melaksanakan seluruh ajaran Islam dalam seluruh aspek kehidupannya. 4. Diperlakukan dengan adil dalam hal makanan, minuman, pakaian, rumah, dan jimak. 5. Dijaga rahasianya dan tidak disebarkan aibnya.
Apa saja hak suami atas istrinya ?|  Hak seorang suami atas istrinya yaitu : 1. Ditaati selama perintahnya tidak dalam kemaksiatan kepada Allah SWT 2. Dijaga kehormatan, kemuliaan,  dan hartanya. 3. Hendaknya seorang istri berada dirumah dan tidak keluar tanpa seizin suaminya.
Hadits hak suami untuk ditaati perintahnya | Rasulullah bersabda “ Jika seorang suami mengajak istrinya ke tempat tidur (berhubungan badan), kemudian istrinya enggan memenuhinya, lalu suaminya marah kepadanya pada malam itu, maka istrinya dilaknat para malaikat hingga pagi hari.”
Hadits kedudukan seorang suami| Rasulullah bersabda “ Seandainya aku boleh memerintahkan seseorang untuk sujud kepada orang lain, sungguh akan aku perintahkan seorang istri sujud kepada suaminya.”
Hadits seorang istri tidak keluar tanpa izin suaminya| Rasulullah bersabda “Wanita (isri) terbaik ialah jika engkau melihat kepadanya, ia menyenangkanmu. Jika engkau menyuruhnya , ia taat kepadamu. Jika engkau sedang pergi darinya, ia menjagamu dengan menjaga dirinya dan menjaga hartamu.”
Bagaimana tips agar kehidupan suami istri harmonis juga dengan orang tua ?| Beberapa hal yang harus diperhatikan suami istri agar hubungan dengan mertua tetap baik, yaitu : 1. Mengucapkan kata-kata baik 2. Tidak mengatakan “Pilih istrimu atau ibumu?” 3. Memosisikan mertua seperti ibu sendiri 4. Memberi hadiah kepada mertua 4. Meminta nasihat kepada mertua.
Haruskah istri menuruti suami untuk tinggal bersama orang tua?| Menaati suami selama tidak dalam kemaksiatan adalah kewajiban seorang istri dan hak suami. Keinginan untuk tinggal dirumah sendiri setelah menikah merupakan keinginan wajar. Tetapi tidak semua orang bisa langsung mewujudkannya karena satu dan lain hal. Maka musyawarahkan semuanya secara baik-baik sehingga biduk rumah tangga baru yang baru dibangun bisa berjalan dengan baik.
Bagaimana mengatasi rasa ketergantungan kepada orang tua ?| kemandirian untuk dapat mengurus keluarga adalah sesuatu yang dibutuhkan dalam pernikahan. Jangan sampai setelah menikah kehidupan rumah tangganya masih ditopang oleh kedua orang tua. Bagi suami istri yang memutuskan untuk tinggal terpisah dari orang tua harus mempersiapkan diri baik dalam masalah kemandirian maupun ekonomi. Sehingga dalam perjalanannya tidak banyak meminta bantuan kepada orang tua.
Siapakah yang sebaiknya bertanggung jawab mengatur keuangan ?| Mengelola keuangan keluarga bisa dilakukan bersama. Caranya dengan mengomunikasikan dan saling terbuka dalam pengelolaan pemasukan dan pengeluaran. Bisa juga membagi tanggung jawab keuangan, supaya masing-masing dapat menjalankannya dengan baik.
Bagaimana mengelola keuangan untuk pendidikan| Mengelola keuangan untuk pendidikan anak dapat anda lakukan bersama pasangan setelah menikah.  Terdapat beberapa hal yang perlu diperhatikan, yaitu : 1. Membuat perencanaan dalam mengelola keuangan rumah tangga 2. Biasakan untuk menyisihkan atau menyimpan sebagian pendapatan kotor. 3. Jangan gampang berutang. 4. Lakukanlah investasi bila memungkinkan.
Bagaimana Sikap suami mengetahui gaji istrinya lebih besar ?|  Beberapa hal berikut ini perlu diperhatikan : 1. Masing-masing pihak hendaknya tetap memahami posisi masing-masing 2. Suami tetap berkewajiban menafkahi anak dan istri meskipun pendapatan istri lebih besar 3. Salah satu hak istri adalah mendapatkan nafkah dari suami, tetapi istri boleh bermurah hati untuk membantu suamu 4. Musyawarahkan dari hati ke hati mengenai keuangan keluarga.
